stock_code,market_cap
000080,2440649662800
000100,3672390807197
000120,3239352848000
000210,1376801578800
000220,127864044420
000240,1585418508000
000250,1071236329050
000270,34496420829700
000320,162152042200
000370,527076201225
000390,273394863450
000400,571018828800
000430,261020000000
000490,232536458000
000520,100175894200
000640,669798611000
000660,74984243595000
000680,254139726600
000700,155469617640
000720,5601194979500
000810,10943587347000
000860,162500000000
000910,108500752050
000990,2552918810000
001020,71575278250
001040,2795156408400
001060,465693200120
001120,1052334000000
001130,277160000000
001230,1384442715659
001260,149401012800
001390,94150791840
001430,776414876350
001450,2346750000000
001520,398602385210
001530,68377688925
001550,138113557400
001620,88526246655
001630,410307615900
001680,826355396250
001740,1263275123230
001790,295998714000
001800,1002326752000
001820,589396500000
001840,132698592000
002030,272782488000
002100,258674118750
002140,83671770875
002150,266725200000
002290,54622000000
002320,517935310200
002350,739345828890
002410,190957941580
002630,158293685415
002710,196460000000
002760,124592000000
002780,305490664500
002790,4089925728000
002820,71739457410
002900,1040250511780
002990,441438784200
003000,927372789450
003030,519777953500
003070,626807119994
003100,368280000000
003160,249139569350
003200,27480000000
003220,328645159332
003230,616200627000
003280,912412491705
003300,376506981480
003310,75916590750
003490,10591144121250
003550,14345850561600
003570,308585028160
003620,1968897626280
003670,11270898510000
003690,847157838408
003720,106760000000
003780,88010000000
003800,527884000000
003830,181272000000
003850,985701500000
003960,254772182600
004000,2195580000000
004020,5931665143250
004080,152000000000
004090,163119442000
004150,159212506830
004170,2441604888000
004370,1724429007000
004380,250950000000
004430,429600000000
004490,1145200000000
004540,166652101175
004650,131889199750
004690,382794360000
004710,217062775280
004720,179754273400
004770,137637793450
004780,91761458230
004890,344380530000
004910,107392000000
004980,272128410300
004990,3430532049900
005010,21404526565
005070,1249749195282
005090,710366993600
005160,210739812570
005180,548714123700
005290,1799507290000
005380,44442982896000
005390,517350204000
005430,148818685000
005440,622866072750
005490,25807303160000
005500,357925000000
005610,660119188500
005670,74700000000
005680,241000000000
005690,746488927500
005710,133049664000
005720,268790764540
005820,48027573000
005830,4191360000000
005850,1578657321750
005860,84717922750
005870,100223706500
005880,900080437200
005930,416690821990000
005940,3905995614050
005950,212492534400
005990,135811209600
006040,167332665500
006050,69441533570
006110,292050000000
006140,139200000000
006260,2015720000000
006280,3207954681000
006340,136352576640
006360,3538794611500
006400,50473165020000
006650,1202500000000
006730,455997474045
006890,155440000000
006910,218136418560
006920,65738400000
006980,92700000000
007120,349607199600
007210,250929600000
007310,1766222861000
007340,580651690500
007370,81720000000
007460,1119849858290
007530,56181144360
007590,100361542490
007660,261207710470
007690,602810210400
007700,1525460313000
007720,154728690750
007810,372026828250
007820,139636603620
007980,130966876640
008060,248414799500
008260,115687473265
008290,53715656280
008370,79080000000
008470,51269280000
008490,553582057050
008700,182400199300
008770,3430285775400
008830,55183372800
008870,70500000000
008970,171789244050
009160,516893176400
009180,130242994500
009240,2388693692000
009290,407834220780
009300,110201000000
009410,863559975600
009420,1065709015200
009450,976095664000
009460,122318346300
009470,190808707000
009520,334807332120
009580,278786408280
009620,76300875846
009780,111232000000
009810,165976572100
009830,9748317321108
009970,640872824000
010060,2454291070868
010120,1767000000000
010130,10133190000000
010140,5614400000000
010170,234867075625
010240,97595752320
010280,62492861218
010470,86699362000
010640,39450000000
010690,334537527800
010780,1396345791200
010950,11539736180000
011040,441531792100
